College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Kent State University at Kent](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Kent,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kent State University at Salem](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Salem,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kent State University at Stark](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Stark,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kent State University at Trumbull](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Trumbull,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kent State University at Tuscarawas](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Tuscarawas,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kenyon College](https://www.kenyon.edu/news/archive/covid-19-update-vaccination-required-for-students/)@@Kenyon College,"April 20, 2021",Private,OH,--,--,✓,--,R
[Keuka College](https://www.keuka.edu/vaccine)@@Keuka College,--,Private,NY,✓,--,✓,--,D
[Kishwaukee College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Kishwaukee College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Knox College](https://www.knox.edu/knoxtogether/latest-updates)@@Knox College,"May 20, 2021",Private,IL,✓,--,✓,--,D
[La Salle University](https://www.lasalle.edu/blog/2021/06/17/vaccine-requirement-and-additional-health-and-safety-updates-for-fall-2021/)@@La Salle University,"June 17, 2021",Private,PA,✓,--,✓,--,D
[La Sierra University](https://lasierra.edu/covid-19/campus-operations/)@@La Sierra University,"July 27, 2021",Private,CA,✓,--,✓,--,D
[Lafayette College](https://covid19.lafayette.edu/2021/05/26/a-safe-return-to-normal)@@Lafayette College,"May 26, 2021",Private,PA,✓,--,✓,--,D
[Laguna College of Art and Design](https://www.lcad.edu/sites/default/files/lcad-coronavirus-information-vaccine-mandate_jul21021_ml_0.pdf)@@Laguna College of Art and Design,--,Private,CA,✓,--,✓,--,D
[Lake Forest College](https://www.lakeforest.edu/about-us/administration/covid-19-information/previous-correspondence)@@Lake Forest College,"May 20, 2021",Private,IL,✓,--,✓,--,D
[Lake Forest Graduate School of Management](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lake Forest Graduate School of Management,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Lake Land College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lake Land College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Lake Washington Institute of Technology](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Lake Washington Institute of Technology,"August 20, 2021",Public,WA,✓,--,✓,--,D
[Lakeview College of Nursing](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lakeview College of Nursing,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Landmark College](https://www.landmark.edu/news/covid-19-vaccination-policy-for-fall-2021-semester)@@Landmark College,"May 14, 2021",Private,VT,✓,--,✓,--,D
[Lane Community College](https://www.lanecc.edu/newsroom/2021-07-22/lcc-announces-covid-19-vaccine-requirement-fall-term)@@Lane Community College,"July 22, 2021",Public,OR,✓,--,✓,--,D
[Laney College](https://safe.peralta.edu/updates/campusstatus8-3-21)@@Laney College,"August 5, 2021",Public,CA,✓,--,✓,--,D
[Las Positas College](http://districtazure.clpccd.org/policies/files/docs/BP7330.pdf)@@Las Positas College,--,Public,CA,✓,--,--,--,D
[Lasell University](https://www.lasell.edu/covid-19-information.html)@@Lasell University,"April 14, 2021",Private,MA,✓,--,✓,--,D
[Lawrence Technological University](https://www.ltu.edu/news/?_from=/news/index.asp&_opt=detail&_cid=31a6acae-df51-4189-ab88-edf7d6668a7d)@@Lawrence Technological University,"April 13, 2021",Private,MI,--,--,--,✓,D
[Lawrence University](https://blogs.lawrence.edu/plan-for-2020-21/2021/04/28/fall-2021-plan-update-april-28-2021/)@@Lawrence University,"April 28, 2021",Private,WI,--,--,✓,--,D
[Le Moyne College](https://www.lemoyne.edu/News/News-Article/ArticleId/320)@@Le Moyne College,"April 23, 2021",Private,NY,--,--,✓,--,D
[Lees-McRae College](https://www.lmc.edu/about/covid-19/index.htm)@@Lees-McRae College,--,Private,NC,--,--,✓,--,R
[Leeward Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Leeward Community College,"May 17, 2021",Public,HI,--,--,✓,--,D
[Lehigh University](https://www2.lehigh.edu/news/42121-fall-2021-plans-and-covid-vaccines)@@Lehigh University,"April 21, 2021",Private,PA,✓,--,✓,--,D
[Lenoir-Rhyne University](https://www.lr.edu/coronavirus#vaccine-requirement)@@Lenoir-Rhyne University,"June 25, 2021",Private,NC,✓,--,✓,--,R
[Lesley University](https://mailchi.mp/7a0873aafc88/important-announcement-of-covid-19-vaccination-requirement-survey-05-06-21?e=98575a5080)@@Lesley University,"May 6, 2021",Private,MA,--,--,✓,--,D
[Lewis & Clark College](https://www.lclark.edu/offices/health_service/vaccine-education/student-covid-19-vaccination-policy/faq/)@@Lewis & Clark College,"April 21, 2021",Private,OR,--,--,✓,--,D
[Lewis and Clark Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lewis and Clark Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Lewis University](https://www.lewisu.edu/news/newsarticle.htm?PArticleID=11903#.YLpr6LRKj9F)@@Lewis University,"June 1, 2021",Private,IL,✓,--,✓,--,D
[Lincoln Christian University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lincoln Christian University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Lincoln College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lincoln College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Lincoln College of Technology at Melrose Park](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lincoln College of Technology at Melrose Park,"August 26, 2021",For-profit,IL,✓,--,✓,--,D
[Lincoln Land Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lincoln Land Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Lincoln Trail College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lincoln Trail College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Linfield University](https://www.linfield.edu/linfield-news/covid-19-vaccine-required/)@@Linfield University,"May 17, 2021",Private,OR,✓,--,✓,--,D
[Longwood University](http://www.longwood.edu/news/2021/message-to-students-about-vaccine-plans/)@@Longwood University,"June 9, 2021",Public,VA,--,--,✓,--,D
[Louisiana Delta Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana Delta Community College,"August 25, 2021",Public,LA,--,--,✓,--,R
[Louisiana State University](https://www.lsu.edu/president/messages/2021/08-24-welcome-employees.php)@@Louisiana State University,"August 24, 2021",Public,LA,✓,--,✓,--,R
[Louisiana State University at Alexandria](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University at Alexandria,"August 25, 2021",Public,LA,--,--,✓,--,R
[Louisiana State University at Eunice](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University at Eunice,"August 25, 2021",Public,LA,--,--,✓,--,R
[Louisiana State University at Shreveport](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University at Shreveport,"August 25, 2021",Public,LA,--,--,✓,--,R
[Louisiana State University Health Sciences Center-New Orleans](https://911.lsuhsc.edu/coronavirus/chancellorpolicymessage.aspx)@@Louisiana State University Health Sciences Center-New Orleans,"August 24, 2021",Public,LA,✓,--,✓,--,R
[Louisiana State University Health Sciences Center-Shreveport](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University Health Sciences Center-Shreveport,"August 25, 2021",Public,LA,--,--,✓,--,R
[Louisiana Tech University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Louisiana Tech University,"August 23, 2021",Public,LA,--,--,✓,--,R
[Lower Columbia College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Lower Columbia College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Loyola Marymount University](https://newsroom.lmu.edu/2021/04/26/lmu-requires-covid-19-vaccinations-for-students-in-fall-2021/)@@Loyola Marymount University,"April 26, 2021",Private,CA,✓,--,✓,--,D
[Loyola University Chicago](https://loyolachicago.us.newsweaver.com/mptytjt7x1/1g3kax3m8if1mwvh8pz3j8?email=true&lang=en&a=6&p=6173569&t=645687)@@Loyola University Chicago,"April 22, 2021",Private,IL,✓,--,✓,--,D
[Loyola University Maryland](https://www.loyola.edu/about/coronavirus-update/communication-archive/051021-students)@@Loyola University Maryland,"May 10, 2021",Private,MD,✓,--,✓,--,D
[Loyola University New Orleans](https://faq.loyno.edu/return-campus/message-archive)@@Loyola University New Orleans,"June 1, 2021",Private,LA,--,--,✓,--,R
[Lutheran School of Theology at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Lutheran School of Theology at Chicago,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Macalester College](https://www.macalester.edu/covid-19/recent-updates/president-rivera-covid-19-vaccine-requirement/)@@Macalester College,"April 23, 2021",Private,MN,✓,--,✓,--,D
[MacCormac College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@MacCormac College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Maine Maritime Academy](https://mainemaritime.edu/about-mma/press-releases/maine-maritime-academy-announces-student-vaccine-requirement-for-fall-2021/)@@Maine Maritime Academy,"August 12, 2021",Public,ME,--,--,✓,--,D
[Manchester Community College](https://www.ct.edu/covid19#faqs)@@Manchester Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Manhattan College](https://manhattan.edu/return-to-campus/campus-communications/index.php)@@Manhattan College,"June 10, 2021",Private,NY,✓,--,✓,--,D
[Manhattan School of Music](https://www.msmnyc.edu/about/msm-covid-19-vaccination-policy/)@@Manhattan School of Music,"June 24, 2021",Private,NY,✓,--,✓,--,D
[Manhattanville College](https://bronx.news12.com/2manhattanville-college-to-require-covid-19-vaccine-for-all-returning-fall-students)@@Manhattanville College,"April 6, 2021",Private,NY,--,--,✓,--,D
[Maria College of Albany](https://mariacollege.edu/covid-guidelines)@@Maria College of Albany,--,Private,NY,✓,--,✓,--,D
[Marist College](https://www.marist.edu/-/marist-policy-covid-19-vaccine)@@Marist College,"May 21, 2021",Private,NY,✓,--,✓,--,D
[Marquette University](https://www.marquette.edu/email/president/6-07-21-vaccine.php/)@@Marquette University,"June 7, 2021",Private,WI,--,--,✓,--,D
[Mary Baldwin University](https://marybaldwin.edu/news/2021/04/28/mbu-will-require-covid-vaccine/)@@Mary Baldwin University,"April 28, 2021",Private,VA,✓,--,✓,--,D
[Maryland Institute College of Art](https://www.mica.edu/art-articles/details/may-13-student-memo/)@@Maryland Institute College of Art,"May 13, 2021",Private,MD,--,--,✓,--,D
[Marymount California University](https://www.marymountcalifornia.edu/wp-content/uploads/2021/06/MCU-Return-to-CampusVaccination-Policy_International.pdf)@@Marymount California University,"May 25, 2021",Private,CA,✓,--,✓,--,D
[Marymount Manhattan College](https://www.mmm.edu/restart/vaccination-information/)@@Marymount Manhattan College,--,Private,NY,--,--,✓,--,D
Marymount University,"May 7, 2021",Private,VA,✓,--,✓,--,D
[Maryville College](https://www.maryvillecollege.edu/news/2021/mc-requiring-with-exceptions-covid-19-vaccine-for-campus-community/)@@Maryville College,"April 26, 2021",Private,TN,✓,--,✓,--,R
[Massachusetts College of Art and Design](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Massachusetts College of Art and Design,"April 26, 2021",Public,MA,--,--,✓,--,D
[Massachusetts College of Liberal Arts](https://www.mcla.edu/_pdfs/student-services/health-services/coronavirus/04-21_april/vaccinations-4-26.pdf)@@Massachusetts College of Liberal Arts,"April 26, 2021",Public,MA,--,--,✓,--,D
[Massachusetts Institute of Technology](http://inj9.mjt.lu/nl2/inj9/miuv5.html?m=AVUAAC0Wl0UAAcrpphwAAAJYdLEAAAAASwUAJSExAAiQzwBgjH8pI8uQr74_QCSKDl0IDI2-zwAIIWc&b=7a229fb6&e=06355d55&x=FedvQbyvA5Jkzbkam6ng7g)@@Massachusetts Institute of Technology,"April 30, 2021",Private,MA,✓,--,✓,--,D
[Massachusetts Maritime Academy](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Massachusetts Maritime Academy,"April 26, 2021",Public,MA,--,--,✓,--,D
[Massasoit Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Massasoit Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[MassBay Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@MassBay Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[McCormick Theological Seminary](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@McCormick Theological Seminary,"August 26, 2021",Private,IL,✓,--,✓,--,D
[McDaniel College](https://www.mcdaniel.edu/news/mcdaniel-college-announces-vaccine-policy-fall-2021)@@McDaniel College,"June 15, 2021",Private,MD,--,--,✓,--,D
[McHenry County College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@McHenry County College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[McKendree University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@McKendree University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[McNeese State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@McNeese State University,"August 23, 2021",Public,LA,--,--,✓,--,R
[MCPHS University](https://www.mcphs.edu/covid/vaccination-eligibility)@@MCPHS University,--,Private,MA,--,--,✓,--,D
[Meadville Lombard Theological School](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Meadville Lombard Theological School,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Meharry Medical College](https://twitter.com/JamesEKHildreth/status/1424496819325837318)@@Meharry Medical College,"August 6, 2021",Private,TN,✓,--,✓,--,R
